"Compound","Rack.Number","N","yield.est","yield.sd","yield.log2.ratio","p.yield","p.adj.yield"
"(-)-Huperzine A","L1021-01",4,4917.36170679176,182.95284809676,-0.025363412139464,0.414608410674289,0.499805382867726
"5-Azacytidine","L1021-01",4,4863.05833357747,48.6559949756738,-0.041383994481247,0.002019330053157,0.007158962735831
"Acarbose","L1021-01",4,4802.91542690011,44.397826978919,-0.059337486828596,7.84E-05,0.000549711477932
"Acitretin","L1021-01",4,4785.63356822531,98.8767321114619,-0.064537956434042,0.014565865692875,0.033368153504998
"Adapalene","L1021-01",4,4377.46450131569,81.6114839561368,-0.193152412351692,7.02E-05,0.000501050384558
"Ampicillin","L1021-01",4,4954.72230499503,58.1938389599334,-0.014443690019505,0.203674861629562,0.280212387920421
"Angiotensin II","L1021-01",4,4746.60426361814,130.553869991414,-0.076352117989507,0.023839657844043,0.048789858755355
"Aprepitant","L1021-01",2,5151.37140345576,725.637900347861,0.041708667562056,0.822622739192812,0.871650754491844
"Bendamustine HCl","L1021-01",4,4608.86633916363,119.264781706719,-0.118835962679582,0.004257721882789,0.01273451764338
"Biapenem","L1021-01",4,4769.74425568465,46.6250617025809,-0.069335977811475,4.48E-05,0.000335255960778
"Bosutinib (SKI-606)","L1021-01",4,5126.65286455765,93.116149211259,0.034769321767312,0.070776332198189,0.118080007388877
"Bumetanide","L1021-01",4,4742.90601289855,172.640033836259,-0.077476611896518,0.052691026337973,0.092595696951265
"Carbenicillin, Disodium Salt","L1021-01",4,5301.28537563712,101.878025692968,0.083094313358815,0.005762426708411,0.016022950214526
"Carboplatin","L1021-01",4,4764.61852135463,69.0433203254472,-0.070887182099415,0.001552900342289,0.005926803043832
"Carfilzomib (PR-171)","L1021-01",4,5844.55094573216,172.462638655964,0.223844290812837,0.001614152112388,0.006101680164801
"Cediranib (AZD217)","L1021-01",4,4641.61333945796,90.4560388109848,-0.108621544849922,0.001461361045256,0.00565383715552
"Celecoxib","L1021-01",4,6488.03659413994,1157.4605307044,0.374534065094442,0.082890710020208,0.134544280550043
"Chloramphenicol","L1021-01",4,5425.72517582595,64.2285033913326,0.116568082347647,4.88E-05,0.000358543730801
"Cilnidipine","L1021-01",4,3688.91266545251,89.7481441661533,-0.440052257830718,6.65E-06,6.69E-05
"Cladribine","L1021-01",4,4991.92722263121,100.700693107677,-0.0036509903579,0.826529920391939,0.874290878873656
"Clofarabine","L1021-01",4,4650.02578922949,119.050986462061,-0.106009174155109,0.006136944461871,0.016804347923988
